month,store,category,revenue,expense
2026-03,University,Utilities,25511.98,1492.55
2026-03,University,Marketing,25511.98,1341.45
2026-03,University,Equipment,25511.98,1192.23
2026-04,Downtown,Rent,43209.13,7260.42
2026-04,Downtown,Wages,43209.13,14764.29
2026-04,Downtown,Coffee Beans & Supplies,43209.13,10065.17
2026-04,Downtown,Utilities,43209.13,2279.08
2026-04,Downtown,Marketing,43209.13,2226.16
2026-04,Downtown,Equipment,43209.13,2196.41
2026-04,Uptown,Rent,31139.35,5037.71
2026-04,Uptown,Wages,31139.35,10953.8
2026-04,Uptown,Coffee Beans & Supplies,31139.35,6596.74
2026-04,Uptown,Utilities,31139.35,1898.79
2026-04,Uptown,Marketing,31139.35,1559.35
2026-04,Uptown,Equipment,31139.35,1731.54
2026-04,Airport,Rent,56466.8,9435.82
2026-04,Airport,Wages,56466.8,20011.4
2026-04,Airport,Coffee Beans & Supplies,56466.8,12614.0
2026-04,Airport,Utilities,56466.8,3710.35
2026-04,Airport,Marketing,56466.8,2988.39
2026-04,Airport,Equipment,56466.8,2893.87
2026-04,Mall Kiosk,Rent,20395.46,3365.69
2026-04,Mall Kiosk,Wages,20395.46,6818.73
2026-04,Mall Kiosk,Coffee Beans & Supplies,20395.46,4195.97
2026-04,Mall Kiosk,Utilities,20395.46,1190.34
2026-04,Mall Kiosk,Marketing,20395.46,921.5
2026-04,Mall Kiosk,Equipment,20395.46,1065.11
2026-04,University,Rent,26721.24,4314.62
2026-04,University,Wages,26721.24,8687.56
2026-04,University,Coffee Beans & Supplies,26721.24,6007.69
2026-04,University,Utilities,26721.24,1697.34
2026-04,University,Marketing,26721.24,1522.8
2026-04,University,Equipment,26721.24,1608.58
2026-05,Downtown,Rent,48022.54,8045.3
2026-05,Downtown,Wages,48022.54,14299.43
2026-05,Downtown,Coffee Beans & Supplies,48022.54,10762.94
2026-05,Downtown,Utilities,48022.54,2717.39
2026-05,Downtown,Marketing,48022.54,2331.31
2026-05,Downtown,Equipment,48022.54,2298.25
2026-05,Uptown,Rent,34293.1,6633.36
2026-05,Uptown,Wages,34293.1,12134.53
2026-05,Uptown,Coffee Beans & Supplies,34293.1,7460.7
2026-05,Uptown,Utilities,34293.1,1908.42
2026-05,Uptown,Marketing,34293.1,1513.65
2026-05,Uptown,Equipment,34293.1,1656.29
2026-05,Airport,Rent,61162.94,12371.79
2026-05,Airport,Wages,61162.94,21602.24
2026-05,Airport,Coffee Beans & Supplies,61162.94,19415.02
2026-05,Airport,Utilities,61162.94,3541.52
2026-05,Airport,Marketing,61162.94,2804.49
2026-05,Airport,Equipment,61162.94,2851.54
2026-05,Mall Kiosk,Rent,19207.93,3972.56
2026-05,Mall Kiosk,Wages,19207.93,6336.24
2026-05,Mall Kiosk,Coffee Beans & Supplies,19207.93,4473.77
2026-05,Mall Kiosk,Utilities,19207.93,1079.63
2026-05,Mall Kiosk,Marketing,19207.93,1023.02
2026-05,Mall Kiosk,Equipment,19207.93,986.28
2026-05,University,Rent,28734.38,5157.43
2026-05,University,Wages,28734.38,9596.07
2026-05,University,Coffee Beans & Supplies,28734.38,6518.95
2026-05,University,Utilities,28734.38,1669.15
2026-05,University,Marketing,28734.38,1313.46
2026-05,University,Equipment,28734.38,1308.2
2026-06,Downtown,Rent,47556.12,9506.3
2026-06,Downtown,Wages,47556.12,16831.05
2026-06,Downtown,Coffee Beans & Supplies,47556.12,10375.46
2026-06,Downtown,Utilities,47556.12,2910.46
2026-06,Downtown,Marketing,47556.12,2595.19
2026-06,Downtown,Equipment,47556.12,2414.32
2026-06,Uptown,Rent,33884.62,6571.56
2026-06,Uptown,Wages,33884.62,12215.56
2026-06,Uptown,Coffee Beans & Supplies,33884.62,8256.01
2026-06,Uptown,Utilities,33884.62,2059.15
2026-06,Uptown,Marketing,33884.62,1549.01
2026-06,Uptown,Equipment,33884.62,1531.97
2026-06,Airport,Rent,67743.15,13665.03
2026-06,Airport,Wages,67743.15,23412.15
2026-06,Airport,Coffee Beans & Supplies,67743.15,14503.73
2026-06,Airport,Utilities,67743.15,4480.4
2026-06,Airport,Marketing,67743.15,3124.68
2026-06,Airport,Equipment,67743.15,3175.02
2026-06,Mall Kiosk,Rent,20950.95,3667.0
2026-06,Mall Kiosk,Wages,20950.95,7330.2
2026-06,Mall Kiosk,Coffee Beans & Supplies,20950.95,4556.48
2026-06,Mall Kiosk,Utilities,20950.95,1286.76
2026-06,Mall Kiosk,Marketing,20950.95,1150.76
2026-06,Mall Kiosk,Equipment,20950.95,1054.19
2026-06,University,Rent,30263.55,4665.67
2026-06,University,Wages,30263.55,10556.12
2026-06,University,Coffee Beans & Supplies,30263.55,6264.99
2026-06,University,Utilities,30263.55,1660.89
2026-06,University,Marketing,30263.55,1420.16
2026-06,University,Equipment,30263.55,1477.79
